"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"1 month ago (edited)","Agar aap ek gig worker hai toh is email ID par email kar ke Gig worker kanoon ko apna samarthan de sakte hain - gigworkershaq@gmail.com","6618","@dhruvrathee","false","false","true","false","","false",""
"1 month ago","Really serious issue in Maharashtra 😔: Farmers died from Jan - OCT 2023 : 2366  avg. : 8  death/day   Can you make video for this and also cover in what approach we reduce this death  ?   Ruling party's just do activity when voice is raised once reduced intensity then again goes on silent   I known wheather it is ruling party or opponent party when that are ruling party's they don't have any interest for this topic, that why where this incident happened they prefer job  instead of farming and those who not get they choose farming and they need loans after fails to pay loan they choose suicide   I think one of reason  , i don't know it is wrong or correct but : for 100 rs tax paid by Maharashtra only gets 7.7 Rs","119","@ajitpatil6508","true","false","false","false","","false",""
"1 month ago","Hzbx","1","@Aroob_fatima0","true","false","false","false","","false",""
"1 month ago (edited)","Sadka or zakaat k paise ese logo ko de jo haqdar to he lekin mangte nahi...😢😢😢😊","77","@H.J.D.","true","false","false","false","","false",""
"1 month ago","""या अल्लाह जी ! हमें ऐसे खूबसूरत दिन अता फरमा, जिनमें रातों की रोशनी,दिन की खुशियां और दिल का सुरूर हमें देखने को मिले."" आमीन  ""اے اللہ! ہمیں خوبصورت دن عطا فرما، جن میں راتوں کی روشنی، دن کی خوشیاں اور دل کی سرور ہمیں دیکھنے کو ملے۔""","57","@thelight4universe","true","false","false","false","","false",""
"1 month ago","Hello","19","@FreshWheelz","true","false","false","false","","false",""
"1 month ago","Respect for Dhruv rathee button ✅  👇","84","@Nextfect","true","false","false","false","","false",""
"1 month ago","Yes sir ❤","15","@Tech2Deep","true","false","false","false","","false",""
"1 month ago","Justice for dr","16","@lucky.gupta1","true","false","false","false","","false",""
"1 month ago","Sponsors 🔥","12","@Practuse","true","false","false","false","","false",""
"1 month ago","Hzhz","8","@Aroob_fatima0","true","false","false","false","","false",""
"1 month ago","Love this video ❤❤","6","@Factflix4","true","false","false","false","","false",""
"1 month ago","Love you","7","@ImazAlam-h1w","true","false","false","false","","false",""
"1 month ago (edited)","Respect for Dhruv Rathee ❤😊","19","@Aroob_fatima0","true","false","false","false","","false",""
"1 month ago","Big fan sir","7","@ShafayatHussain-zi6hh","true","false","false","false","","false",""
"1 month ago","Hdud","3","@Aroob_fatima0","true","false","false","false","","false",""
"1 month ago","Y","2","@Dhruv.S.K_28","true","false","false","false","","false",""
"1 month ago","❤❤❤❤","5","@b2studylife","true","false","false","false","","false",""
"1 month ago","Kon kon Raat Ko Video Dekh Raha hai?","7","@RealTechnoXEdit","true","false","false","false","","false",""
"1 month ago","Aapko to abhi Purav jha Surpass kar Diya 😅😂","6","@ALLINONE-kx7om","true","false","false","false","","false",""
"1 month ago","What a video ❤ love your content.","4","@the_engineer_boy24","true","false","false","false","","false",""
"1 month ago","Bilkol Bhai","4","@saif.ali.ff.lover.0786","true","false","false","false","","false",""
"1 month ago","Please Make a video on Western ghats's ecological damage","6","@archanadhanekar5680","true","false","false","false","","false",""
"1 month ago","Nepal se kaise ?? kare 😢","5","@govindamahar1","true","false","false","false","","false",""
"1 month ago","Real hero respect button","4","@mounstarmounstar1362","true","false","false","false","","false",""
"1 month ago","I want to own please tell me dhruv bhai please😢😢","4","@Soccerworld_xi","true","false","false","false","","false",""
"1 month ago","Ati sundar ladle","3","@Pawanstudiokarhal","true","false","false","false","","false",""
"1 month ago","2 minute and 50k viewers 😮","5","@ishvaradil7466","true","false","false","false","","false",""
"1 month ago","❤​ @Aroob_fatima0 ","1","@mounstarmounstar1362","true","false","false","false","","false",""
"1 month ago","gig economy"" ke saath zyada joda jaata hai, jahan log short-term aur flexible jobs karte hain, jo aksar digital platforms jaise Uber, Fiverr, ya Upwork ke through milti hain. Is trend ne traditional jobs ka concept badal diya hai, jahan log flexibility aur independence ko long-term job security se zyada prefer karte hain.","4","@Ssingh-1221","true","false","false","false","","false",""
"1 month ago","❤❤❤","1","@SalmanKhan-kw1ue","true","false","false","false","","false",""
"1 month ago","Dhurve rathee respect button","2","@govindamahar1","true","false","false","false","","false",""
"1 month ago","Any jee aspirant here?","1","@AttitudeStatusA1","true","false","false","false","","false",""
